product_name,category,price,product_url,img_link,memberNo,skintype,skinton,skinconcerns,goodsNo,gdasContent,gdasValue,date
마녀공장 판테토인 에센스 토너 200ml,스킨/토너,"14,700",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199405&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019940505ko.jpg?l=ko,M0000001164683,['건성'],['쿨톤'],"['모공', '미백', '민감성', '잡티', '주름', '탄력']",A000000199405,에센스타입스킨. 촉촉이라서  가을겨울에 유용하게 바르려고 구매했어요. 뚜껑여니 바로 스킨이라서  편하고좋네요.,10,2024.10.04
브링그린 티트리시카토너 &크림기획,스킨/토너,"20,800",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208304&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=12,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020830402ko.jpg?l=ko,M0000015744288,['트러블성'],['쿨톤'],"['트러블', '피지과다', '홍조']",A000000208304,자극없이 무난한 느낌이라서 거의 네번째 구매입니다. 수분충전돼서 좋아요,8,2024.11.10
[대용량] 마녀공장 비피다 바이옴 앰플 토너 400ml+100ml 기획,스킨/토너,"17,500",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148285&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=13,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014828517ko.jpg?l=ko,M0000003496980,['복합성'],['봄웜톤'],"['각질', '다크서클', '모공', '미백', '민감성', '블랙헤드', '아토피', '잡티', '주름', '탄력', '트러블', '피지과다', '홍조']",A000000148285,가을이라 조금 당겼는데 촉촉하니 가성비 있게 좋아요 ! 추천해요,10,2024.10.08
리얼베리어 익스트림 에센스 토너 300ml 기획 (+익스트림 크림 25ml),스킨/토너,"16,800",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213413&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=14,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021341302ko.jpg?l=ko,M0000000321600,['민감성'],['쿨톤'],"['모공', '블랙헤드', '주름', '트러블', '홍조']",A000000213413,작년 겨울에 우연히 샀다가 잘쓰고 <br/>이번 환절기때 또 쓰려고 돌아왔어요,10,2024.11.06
[1등토너] 라운드랩 1025 독도 토너 200ml 기획 (+50ml 증정),스킨/토너,"15,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132162&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=15,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0013/A00000013216226ko.jpg?l=ko,M0000023770232,['복합성'],['봄웜톤'],"['각질', '모공', '잡티', '주름', '홍조']",A000000132162,와 진짜 너무 좋아요 요즘 이거만 쓰는중이에요 피부 뒤집어졌었는ㄷ데 이거 쓰고 피부 완전 깐달걀 됐어요,10,2024.10.30
[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),스킨/토너,"26,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190395&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=16,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019039510ko.jpg?l=ko,M0000013101038,['복합성'],['여름쿨톤'],"['민감성', '잡티', '트러블']",A000000190395,넘버즈인 1번라인 피부에 잘맞아서 다 구매했어요 ~~!!!<br/>저한테는 완전 구원템이에요ㅠㅠ,10,2024.10.17
[1+1 기획/신규기획]바이오더마 센시비오 토너 250ml 1+1 기획,스킨/토너,"24,650",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208494&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=17,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020849401ko.jpg?l=ko,M0000024312433,[],[],[],A000000208494,처음 써보는데 너무 좋아요<br/>지금까지 써본 토너중에서는 이에 최고에요<br/>닦토 하기 좋고 하고 나면 뭔가 매끈한 느낌이 납니다!!,10,2024.10.27
[수분생기] 라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),스킨/토너,"23,800",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157178&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0015/A00000015717814ko.jpg?l=ko,M0000012762948,['지성'],['쿨톤'],"['주름', '탄력', '트러블']",A000000157178,보습에 좋은 것 같아요~<br/>그리고 자극적이지 않고 순한제품이여서 민감성피부에 사용가능한 제품인 것 같아요!<br/>제가 좀 민감성피부인데 이거 사용하고 트러블이 나진 않았어요<br/>피부가 더 좋아지지도 않고 무난하게 좋은 제품 인 것 같습니다 ^^,10,2024.09.30
AHC 허브솔루션 위치하젤 토너 500ml,스킨/토너,"11,900",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165355&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=19,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0016/A00000016535501ko.jpg?l=ko,M0000002206631,['지성'],['봄웜톤'],"['모공', '민감성', '블랙헤드', '잡티', '트러블']",A000000165355,모공관리에 위치하젤이 좋다고 해서 사봤어요 모공축소 효과는 모르겠지만 토너만으로 그런 효과가 클거라 기대는 안 하고 안 쓰는 것보단 낫겠거니 하고 씁니다,8,2024.10.23
[11월 올영PICK/단독 리필기획] 구달 어성초 히알루론 수딩 토너 350ml 리필 기획 (+350ml 리필),스킨/토너,"21,900",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201650&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=20,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020165015ko.jpg?l=ko,M0000014741307,['건성'],['가을웜톤'],"['다크서클', '탄력']",A000000201650,몇주동안 사용하면서 피부에 큰 변화는 못 줬는것 같아요<br/>그냥 자극없이 데일리로 사용하기 그럭저럭 좋은정도?<br/>나쁘진 않았지만 다시 구매할 의사는 없을것 같아요,6,2024.09.18
[피지쓱싹] 브링그린 티트리시카수딩토너 250mL,스킨/토너,"13,500",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185109&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=21,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018510904ko.jpg?l=ko,M0000013868207,,,,A000000185109,"재구매템이에요 대용량이라 닦토 용도로도, 토너팩 용도로도 좋아요",10,2024.10.16
[11월 올영픽/피지케어] 비플레인 녹두 모공 클리어링 라하 토너 265ml,스킨/토너,"12,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212908&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=22,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021290806ko.jpg?l=ko,M0000003013070,['복합성'],['여름쿨톤'],"['각질', '다크서클', '모공', '미백', '잡티', '주름', '피지과다', '홍조']",A000000212908,바르자마자 시원하게 피부 진정에 좋은거 같아요 열을 내리고싶을땐 화장솜에 적셔서 올리고 있어도 너무 시원합니다<br/>아직까지 트러블난적 업습니당,10,2024.10.27
[NEW]닥터자르트 세라마이딘 스킨 베리어 세럼 토너 150ml,스킨/토너,"30,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000175354&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=23,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0017/A00000017535402ko.jpg?l=ko,M0000014757330,['건성'],['가을웜톤'],"['각질', '다크서클', '아토피', '잡티']",A000000175354,"🙋‍♀️ 리뷰 작성자<br/>: 건성 - 수부지, 아토피나 접촉성 피부염 등의 트러블을 달고 사는 민감성 노답 피부입니다.<br/>🌼 체험단을 통해 제품을 제공 받았지만, 세라마이딘 라인의 토너(구 리퀴드), 세럼, 크림을 내돈내산으로 재구매에 삼구매까지 해왔습니다.<br/>🌼 학생 때까지는 내내 악건성이지만 트러블은 없었는데, 20대 중반 넘어가고부터 화장품을 바꾸지 않아도 트러블이 점점 늘더니 얼굴이 다 뒤집어지고 난리가 났습니다.. 피지분비도 심해지고 뾰루지가 나지만 건조함은 또 비슷한..<br/>🌼 요즘처럼 쌀쌀한 계절, 장벽이 무너졌을 때, 각질 제거를 했을 때는 세라마이딘 라인의 꾸덕 쫀쫀한 제품이 최고더라구요.<br/><br/>🌻 특징(구 리퀴드와 비교) 🌻<br/>1. 일반적인 스킨/토너에 비해 높은 점성, 로션과 에센스만큼 쫀쫀한 제형이에요.<br/>일반 스킨&lt;세라마이딘 세럼 토너&lt;=일반 에센스&lt;일반 로션<br/>이전 리퀴드보다 아주 약간 묽어진 느낌, 발림성이 부드러워진 느낌입니다.<br/><br/>2. 약간 노란빛이 돌고 세라마이드 제품 특유의 싸한 향이 난다고 하는데 만성비염인 제게는 향을 맡기 어려울 정도로 옅었습니다.<br/>이전 리퀴드는 약간 더 베이지빛이 돌았지만 리뉴얼 후에는 레몬빛에 가까운 색이었습니다.<br/><br/>3. 완두콩만큼만 써도 보습감을 충분히 채워줍니다.<br/>속건조를 느끼는 분들이 기존에 사용하던 스킨케어에서 이 제품만 추가해줘도 겨울철을 나기에 좋을 제품입니다.<br/>저도 유독 건조할 때는 스킨-(세럼 토너)-에센스-크림으로 단계 추가만 해주고, 각질제거를 해줬거나 장벽이 무너졌을 때는 스킨 대용으로 사용합니다.<br/><br/>4. 쫀쫀하고 꾸덕하지만 흡수력이 상당히 좋기 때문에 무겁거나 답답하지 않습니다. 발림성과 흡수력은 스킨이지만 보습력과 영양감은 세럼과 로션인 제품이에요.<br/>다만 보습감이 있는 제품이다보니 흡수력이 좋아도 양 조절을 해서 발라주는 게 트러블이나 밀림에 좋습니다. 자칫 잔뜩 바르면 갈색으로 밀릴 수 있습니다..<br/><br/>5. 밀도 있게 쫀쫀한 제형이다보니 닦토보다 손바닥에 덜어 찹토해주는 걸 추천드려요. 콩알만큼 손바닥에 덜어서 손바닥 전체로 감싸듯이 흡수시켜주면 좋습니다!<br/><br/>6. 불투명한 플라스틱 용기는 약간 불편에서 좀 더 불편으로..<br/>같은 플라스틱 용기에서 약간 무게가 더 생기고 뚜껑부분이 바뀌었습니다. 위로 또깍 여는 뚜껑(연유나 시럽병 같은)에서 돌려서 여는 뚜껑으로 바뀌었는데 양 조절이 훨씬 어려워졌어요..;<br/><br/>🌼 세라마이딘 라인은 용기들이 어째 다.. 불편하네요ㅠㅠ! 제품의 질은 비싼 값을 하는 제품이라고 몇 년 쓰면서 만족합니다. 다만 쓰면서 용기가 불편하다고는 느껴요!",10,2022.12.31
비욘드 엔젤아쿠아 보습장벽 토너 500ml,스킨/토너,"10,900",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184771&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018477108ko.jpg?l=ko,M0000012995428,,,,A000000184771,겨울철어 사용하려고  보습장벽 토너로 구매 하였습니다  닦토로 사용후 크림 바릅니다,10,2024.11.06
아누아 어성초 77 깐달걀 토너 350ml,스킨/토너,"30,500",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210771&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=25,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021077104ko.png?l=ko,M0000001757796,['복합성'],['웜톤'],"['민감성', '잡티', '트러블']",A000000210771,토너가 깔끔하고 마무리감이 좋아서 낮에 사용하기에 좋아요. 끈적임이 없고 부드럽게 잘 발려요. 화장솜에 부어서 닦토나 진정용으로 올리기에도 좋아요.,10,2024.10.20
[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획/단품,스킨/토너,"19,800",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189181&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=26,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018918108ko.jpg?l=ko,M0000013868207,,,,A000000189181,"재구매템이에요 대용량이라 닦토 용도로도, 토너팩 용도로도 좋아요",10,2024.10.16
마몽드 로즈 워터 토너 250ml 기획 (+50ml 증정),스킨/토너,"12,600",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000159263&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=27,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0015/A00000015926309ko.jpg?l=ko,M0000012538486,['트러블성'],['여름쿨톤'],"['모공', '민감성', '블랙헤드', '잡티', '트러블']",A000000159263,점성 없는 물같은 제형이라서 <br/>닦토용으로 ㅅ ㅏ용하고 있습니다 ㅎㅎ<br/>세안후에 화장솜에 가득 묻혀서<br/>닦아주면 피부결 정리도 되고 좋은 것 같아요 <br/>대신 보습력은 1도 없어서 그냥 피부결 정돈한다고<br/>생각하면 될것 같습니다 ㅎㅎ 은은한 로즈향도 좋아요,10,2024.10.18
[설화수 6종 선착순]설화수 자음수 150ml,스킨/토너,"61,200",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204623&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=28,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020462310ko.png?l=ko,M0000011694211,,,,A000000204623,늘<br/>사용하는 제품이라<br/>믿고 구매합니다. 다들 설화수하면 아시죠?,10,2024.09.14
아벤느 젠틀 토닝 로션 200ml 더블기획 ,스킨/토너,"36,900",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187036&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=29,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0018/A00000018703603ko.jpg?l=ko,M0000004252620,['건성'],['여름쿨톤'],['잡티'],A000000187036,"수부지 민감성 복합성 22호<br/>한 달이 아니고 거의 3년째 사용중입니다. 아베다꺼 쓰다가 갈아탔는데 훨씬 순하고 좋아요. 피부 컨디션 안좋을 때 아침에 잘 자고 일어나도 세안 후에 피부에 자극이 오는데 그때 뿌려주면 진정됩니다. 뒷목에 나는 여드름ㅠ 도 이거 뿌려주면 확 가라앉아요. 주목적이 수분충전, 보습, 진정입니다. <br/>완전 극건성이신분들 한테는 좀 가벼울 수 있습니다. 얼굴에 수분은 부족한데 기름은 끼고, 그렇다고 세럼이나 앰플로 수분이 안채워지시는 분들한테 적극 추천합니다.<br/><br/>다만 패키지가 불편해서ㅠㅠ 통에 덜어서 써야됨",10,2024.08.25
폴라초이스 스킨퍼펙팅 바하 리퀴드 각질제거제 118ml 기획 (+바하 리퀴드 30ml),스킨/토너,"35,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210550&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=30,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021055001ko.jpg?l=ko,M0000018495518,,,,A000000210550,얼굴 각질제거가 필요할때마다 해주고 있습니다. 일주일에 한번씩 사용하는 거 같아요!,10,2024.10.25
아벤느 이드랑스 딥 모이스트로션 200ml,스킨/토너,"29,000",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139057&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=31,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0013/A00000013905711ko.jpg?l=ko,M0000019837074,,,,A000000139057,겨울철필수템개촉촉건조라는건업다!!!!나이슼ㅋ와우,10,2024.11.04
